title,artist,track_id,album_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Fall in You,하성운,0LE7qfUeJLORKEVurAvy6u,https://cdnimg.melon.co.kr/cm2/album/images/105/50/738/10550738_20210120182858_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.416,0.364,3,-8.251,1,0.0313,0.527,0.0,0.189,0.204,134.677,audio_features,0LE7qfUeJLORKEVurAvy6u,spotify:track:0LE7qfUeJLORKEVurAvy6u,https://api.spotify.com/v1/tracks/0LE7qfUeJLORKEVurAvy6u,https://api.spotify.com/v1/audio-analysis/0LE7qfUeJLORKEVurAvy6u,226765,4
ONCE AGAIN,윈터 ,5vsjD4VbQzkUUlvwFOhppn,https://cdnimg.melon.co.kr/cm2/album/images/109/63/938/10963938_20220520174054_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.663,0.502,8,-4.788,0,0.0472,0.597,0.0,0.0906,0.481,86.01,audio_features,5vsjD4VbQzkUUlvwFOhppn,spotify:track:5vsjD4VbQzkUUlvwFOhppn,https://api.spotify.com/v1/tracks/5vsjD4VbQzkUUlvwFOhppn,https://api.spotify.com/v1/audio-analysis/5vsjD4VbQzkUUlvwFOhppn,169893,4
있잖아,폴킴,52tumwEdCAp7TrJ1QLNAho,https://cdnimg.melon.co.kr/cm/album/images/100/81/477/10081477_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.591,0.522,1,-8.483,0,0.0305,0.779,0.0,0.179,0.433,101.906,audio_features,52tumwEdCAp7TrJ1QLNAho,spotify:track:52tumwEdCAp7TrJ1QLNAho,https://api.spotify.com/v1/tracks/52tumwEdCAp7TrJ1QLNAho,https://api.spotify.com/v1/audio-analysis/52tumwEdCAp7TrJ1QLNAho,207988,4
Luv Luv Luv,"조유리, 성한빈 ",5KgukBQlqxJrmFnrEVa5IZ,https://cdnimg.melon.co.kr/cm2/album/images/113/15/077/11315077_20230828145106_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.436,0.533,5,-6.295,1,0.0535,0.374,0.0,0.32,0.463,140.802,audio_features,5KgukBQlqxJrmFnrEVa5IZ,spotify:track:5KgukBQlqxJrmFnrEVa5IZ,https://api.spotify.com/v1/tracks/5KgukBQlqxJrmFnrEVa5IZ,https://api.spotify.com/v1/audio-analysis/5KgukBQlqxJrmFnrEVa5IZ,202173,3
사랑시 고백구 행복동,제이세라,3LVpdzjsya6leZ7B0CMp3v,https://cdnimg.melon.co.kr/cm/album/images/020/63/107/2063107_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.745,0.774,7,-2.376,1,0.0273,0.0464,1.37e-06,0.155,0.513,125.031,audio_features,3LVpdzjsya6leZ7B0CMp3v,spotify:track:3LVpdzjsya6leZ7B0CMp3v,https://api.spotify.com/v1/tracks/3LVpdzjsya6leZ7B0CMp3v,https://api.spotify.com/v1/audio-analysis/3LVpdzjsya6leZ7B0CMp3v,235520,4
Beautiful Day,어반자카파,4iiG02UXXY0Psyc4PKJzHh,https://cdnimg.melon.co.kr/cm/album/images/021/05/006/2105006_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.607,0.663,5,-3.907,1,0.035,0.708,0.0,0.16,0.594,110.035,audio_features,4iiG02UXXY0Psyc4PKJzHh,spotify:track:4iiG02UXXY0Psyc4PKJzHh,https://api.spotify.com/v1/tracks/4iiG02UXXY0Psyc4PKJzHh,https://api.spotify.com/v1/audio-analysis/4iiG02UXXY0Psyc4PKJzHh,211513,4
Perhaps Love ,"하울, 제이",73lwJ5P3ehRiqimOgWiwOE,https://cdnimg.melon.co.kr/cm/album/images/003/12/880/312880_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.464,0.702,8,-7.328,1,0.0558,0.397,0.0,0.13,0.437,165.491,audio_features,73lwJ5P3ehRiqimOgWiwOE,spotify:track:73lwJ5P3ehRiqimOgWiwOE,https://api.spotify.com/v1/tracks/73lwJ5P3ehRiqimOgWiwOE,https://api.spotify.com/v1/audio-analysis/73lwJ5P3ehRiqimOgWiwOE,275342,4
Wish Ur My Love ,티맥스,3PtqREMenHuD7pKYg91JIs,https://cdnimg.melon.co.kr/cm/album/images/005/13/456/513456_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.636,0.629,10,-5.861,1,0.0268,0.597,0.0,0.0866,0.425,94.016,audio_features,3PtqREMenHuD7pKYg91JIs,spotify:track:3PtqREMenHuD7pKYg91JIs,https://api.spotify.com/v1/tracks/3PtqREMenHuD7pKYg91JIs,https://api.spotify.com/v1/audio-analysis/3PtqREMenHuD7pKYg91JIs,290253,4
Fallin',도영 ,7MozkMWZX3AsjQLLhvYPLk,https://cdnimg.melon.co.kr/cm2/album/images/110/84/218/11084218_20221024110923_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.432,0.785,2,-4.517,1,0.25,0.281,0.0,0.818,0.679,179.584,audio_features,7MozkMWZX3AsjQLLhvYPLk,spotify:track:7MozkMWZX3AsjQLLhvYPLk,https://api.spotify.com/v1/tracks/7MozkMWZX3AsjQLLhvYPLk,https://api.spotify.com/v1/audio-analysis/7MozkMWZX3AsjQLLhvYPLk,217920,4
Love Song,"원슈타인, 조이 ",7JF6USn1d7oBnjITCKtSHp,https://cdnimg.melon.co.kr/cm2/album/images/110/82/361/11082361_20221020181457_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.446,0.786,1,-4.562,0,0.33,0.207,0.0,0.23,0.581,179.608,audio_features,7JF6USn1d7oBnjITCKtSHp,spotify:track:7JF6USn1d7oBnjITCKtSHp,https://api.spotify.com/v1/tracks/7JF6USn1d7oBnjITCKtSHp,https://api.spotify.com/v1/audio-analysis/7JF6USn1d7oBnjITCKtSHp,220040,4
첫사랑 ,써니사이드,3ACyolE5izlcRv7NDKYpdm,https://cdnimg.melon.co.kr/cm/album/images/021/92/535/2192535_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.831,0.577,3,-5.732,1,0.0331,0.647,0.0,0.118,0.562,106.01,audio_features,3ACyolE5izlcRv7NDKYpdm,spotify:track:3ACyolE5izlcRv7NDKYpdm,https://api.spotify.com/v1/tracks/3ACyolE5izlcRv7NDKYpdm,https://api.spotify.com/v1/audio-analysis/3ACyolE5izlcRv7NDKYpdm,206291,4
뭘해도 예쁜걸,길구봉구,3OJAcnGgB6Chb5ZgQ9kBQ2,https://cdnimg.melon.co.kr/cm/album/images/022/53/475/2253475_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.556,0.827,6,-4.051,1,0.0556,0.206,0.0,0.113,0.586,151.925,audio_features,3OJAcnGgB6Chb5ZgQ9kBQ2,spotify:track:3OJAcnGgB6Chb5ZgQ9kBQ2,https://api.spotify.com/v1/tracks/3OJAcnGgB6Chb5ZgQ9kBQ2,https://api.spotify.com/v1/audio-analysis/3OJAcnGgB6Chb5ZgQ9kBQ2,231523,4
Keep Me Busy,펀치 ,6RQJn6zIOXt57vvkT1bjSc,https://cdnimg.melon.co.kr/cm2/album/images/112/82/034/11282034_20230710171619_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.482,0.611,9,-4.226,1,0.0514,0.548,2.94e-05,0.129,0.151,149.876,audio_features,6RQJn6zIOXt57vvkT1bjSc,spotify:track:6RQJn6zIOXt57vvkT1bjSc,https://api.spotify.com/v1/tracks/6RQJn6zIOXt57vvkT1bjSc,https://api.spotify.com/v1/audio-analysis/6RQJn6zIOXt57vvkT1bjSc,212107,4
사랑한다는 말로는,피아노맨,3uHmQXIF0JQYWce9l5AxGu,https://cdnimg.melon.co.kr/cm/album/images/102/18/843/10218843_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.745,0.455,1,-7.086,1,0.0303,0.0296,0.716,0.096,0.708,95.023,audio_features,3uHmQXIF0JQYWce9l5AxGu,spotify:track:3uHmQXIF0JQYWce9l5AxGu,https://api.spotify.com/v1/tracks/3uHmQXIF0JQYWce9l5AxGu,https://api.spotify.com/v1/audio-analysis/3uHmQXIF0JQYWce9l5AxGu,194688,4
Love Eternally ,Advanced,20YNEkOUj8r3jHscotaGpe,https://cdnimg.melon.co.kr/cm2/album/images/110/65/371/11065371_20220927151152_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.63,0.767,3,-4.395,1,0.0399,0.128,6.29e-06,0.119,0.465,99.955,audio_features,20YNEkOUj8r3jHscotaGpe,spotify:track:20YNEkOUj8r3jHscotaGpe,https://api.spotify.com/v1/tracks/20YNEkOUj8r3jHscotaGpe,https://api.spotify.com/v1/audio-analysis/20YNEkOUj8r3jHscotaGpe,237133,4
About You,WOODZ,3Pc9NJtnXnFdhmqcQWXZnF,https://cdnimg.melon.co.kr/cm2/album/images/109/79/824/10979824_20220609230406_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.718,0.665,1,-4.352,1,0.0803,0.478,0.0,0.287,0.38,96.978,audio_features,3Pc9NJtnXnFdhmqcQWXZnF,spotify:track:3Pc9NJtnXnFdhmqcQWXZnF,https://api.spotify.com/v1/tracks/3Pc9NJtnXnFdhmqcQWXZnF,https://api.spotify.com/v1/audio-analysis/3Pc9NJtnXnFdhmqcQWXZnF,195043,4
2 O' CLOCK,dori,36PxJOUB8qFTcDFp2M0h6K,https://cdnimg.melon.co.kr/cm2/album/images/108/54/597/10854597_20220127181920_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.821,0.635,9,-5.555,1,0.0491,0.665,3.39e-06,0.102,0.744,92.044,audio_features,36PxJOUB8qFTcDFp2M0h6K,spotify:track:36PxJOUB8qFTcDFp2M0h6K,https://api.spotify.com/v1/tracks/36PxJOUB8qFTcDFp2M0h6K,https://api.spotify.com/v1/audio-analysis/36PxJOUB8qFTcDFp2M0h6K,152320,4
첫사랑,Sondia,1H5NRie9oDG3ZQ5Sd9m7zy,https://cdnimg.melon.co.kr/cm2/album/images/103/39/392/10339392_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.373,0.51,8,-6.061,1,0.0348,0.27,0.0,0.0842,0.406,143.797,audio_features,1H5NRie9oDG3ZQ5Sd9m7zy,spotify:track:1H5NRie9oDG3ZQ5Sd9m7zy,https://api.spotify.com/v1/tracks/1H5NRie9oDG3ZQ5Sd9m7zy,https://api.spotify.com/v1/audio-analysis/1H5NRie9oDG3ZQ5Sd9m7zy,225000,4
Fall in You,하성운,0LE7qfUeJLORKEVurAvy6u,https://cdnimg.melon.co.kr/cm2/album/images/105/50/738/10550738_20210120182858_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.416,0.364,3,-8.251,1,0.0313,0.527,0.0,0.189,0.204,134.677,audio_features,0LE7qfUeJLORKEVurAvy6u,spotify:track:0LE7qfUeJLORKEVurAvy6u,https://api.spotify.com/v1/tracks/0LE7qfUeJLORKEVurAvy6u,https://api.spotify.com/v1/audio-analysis/0LE7qfUeJLORKEVurAvy6u,226765,4
ONCE AGAIN,윈터 ,5vsjD4VbQzkUUlvwFOhppn,https://cdnimg.melon.co.kr/cm2/album/images/109/63/938/10963938_20220520174054_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.663,0.502,8,-4.788,0,0.0472,0.597,0.0,0.0906,0.481,86.01,audio_features,5vsjD4VbQzkUUlvwFOhppn,spotify:track:5vsjD4VbQzkUUlvwFOhppn,https://api.spotify.com/v1/tracks/5vsjD4VbQzkUUlvwFOhppn,https://api.spotify.com/v1/audio-analysis/5vsjD4VbQzkUUlvwFOhppn,169893,4
있잖아,폴킴,52tumwEdCAp7TrJ1QLNAho,https://cdnimg.melon.co.kr/cm/album/images/100/81/477/10081477_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.591,0.522,1,-8.483,0,0.0305,0.779,0.0,0.179,0.433,101.906,audio_features,52tumwEdCAp7TrJ1QLNAho,spotify:track:52tumwEdCAp7TrJ1QLNAho,https://api.spotify.com/v1/tracks/52tumwEdCAp7TrJ1QLNAho,https://api.spotify.com/v1/audio-analysis/52tumwEdCAp7TrJ1QLNAho,207988,4
Luv Luv Luv,"조유리, 성한빈 ",5KgukBQlqxJrmFnrEVa5IZ,https://cdnimg.melon.co.kr/cm2/album/images/113/15/077/11315077_20230828145106_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.436,0.533,5,-6.295,1,0.0535,0.374,0.0,0.32,0.463,140.802,audio_features,5KgukBQlqxJrmFnrEVa5IZ,spotify:track:5KgukBQlqxJrmFnrEVa5IZ,https://api.spotify.com/v1/tracks/5KgukBQlqxJrmFnrEVa5IZ,https://api.spotify.com/v1/audio-analysis/5KgukBQlqxJrmFnrEVa5IZ,202173,3
사랑시 고백구 행복동,제이세라,3LVpdzjsya6leZ7B0CMp3v,https://cdnimg.melon.co.kr/cm/album/images/020/63/107/2063107_500.jpg/melon/resize/120/quality/80/optimize,none,사랑,0.745,0.774,7,-2.376,1,0.0273,0.0464,1.37e-06,0.155,0.513,125.031,audio_features,3LVpdzjsya6leZ7B0CMp3v,spotify:track:3LVpdzjsya6leZ7B0CMp3v,https://api.spotify.com/v1/tracks/3LVpdzjsya6leZ7B0CMp3v,https://api.spotify.com/v1/audio-analysis/3LVpdzjsya6leZ7B0CMp3v,235520,4
